GUID,内容类型,学科,学期,学段,章节,教材节数,单元内排序,课文标题,知识点类型,知识点关键词,知识点说明,核心教学目标,对应教案文件名,确认版（文件上传）,确认版交付时间,负责人,前端录屏文件,备注,是否可上线,预计完成日期,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第七章 相交线与平行线,7.1.1,1,相交线、邻补角与对顶角,概念定义类,相交线、邻补角、对顶角,两条直线相交形成邻补角和对顶角，掌握对顶角与邻补角的位置、数量关系,1. 能区分邻补角与对顶角并说出其性质；2. 会用对顶角、邻补角的性质进行角度计算；3. 能完成简单的几何推理,七年级_下册_第七章第 1 节_相交线、邻补角与对顶角.docx,,,丽玲,,完成、这些角，读错,,5.28,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第七章 相交线与平行线,7.1.2,2,垂线的定义,概念定义类,垂线,两条直线相交成直角时的位置关系，明确垂足概念,1. 能识别垂直关系；2. 会用符号表示垂直,七年级_下册_第七章第 1 节_垂线的定义.docx,,,丽玲,,完成,,5.28,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第七章 相交线与平行线,7.1.2,3,垂线的性质（一）：过一点有且只有一条直线与已知直线垂直,性质 / 定理类,垂线性质 （一）,理解平面内过一点（直线上 / 外）作已知直线垂线的唯一性,1. 能过一点画已知直线的垂线；2. 理解垂线的存在唯一性,七年级_下册_第七章第 1 节_垂线的性质 （一）.docx,,,丽玲,,生成内容有问题,,5.28,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第七章 相交线与平行线,7.1.2,4,垂线的性质（二）：垂线段最短,性质 / 定理类,垂线段性质（二）、点到直线的距离,理解垂线段的性质，掌握点到直线的距离定义,1. 能说出垂线段最短的性质；2. 会用垂线段最短解释实际问题；3. 能说出点到直线的距离的概念,七年级_下册_第七章第 1 节_垂线的性质（二）.docx,,,丽玲,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第七章 相交线与平行线,7.1.3,5,同位角的识别,概念定义类,同位角,两条直线被第三条直线所截，位置相同的角，形如 “F” 型,1. 能在三线八角中识别同位角；2. 掌握同位角的位置特征,七年级_下册_第七章第 1 节_同位角的识别.docx,七年级_下册_第一章第 1 节_同位角的识别,5.22,丽玲,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第七章 相交线与平行线,7.1.3,6,内错角的识别,概念定义类,内错角,两条直线被第三条直线所截，在两线之间、截线两侧的角，形如 “Z” 型,1. 能在三线八角中识别内错角；2. 掌握内错角的位置特征,七年级_下册_第七章第 1 节_内错角的识别.docx,,,丽玲,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第七章 相交线与平行线,7.1.3,7,同旁内角的识别,概念定义类,同旁内角,两条直线被第三条直线所截，在两线之间、截线同侧的角，形如 “U” 型,1. 能在三线八角中识别同旁内角；2. 掌握同旁内角的位置特征,七年级_下册_第七章第 1 节_同旁内角的识别.docx,,,丽玲,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第七章 相交线与平行线,7.2.1,8,平行线的定义与表示,概念定义类,平行线,同一平面内不相交的两条直线，会用 “∥” 表示平行关系,1. 能说出平行线的定义；2. 会用符号表示两条直线平行,七年级_下册_第七章第 2 节_平行线的定义与表示.docx,七年级_下册_第七章第 2 节_平行线的定义与表示,5.22,丽玲,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第七章 相交线与平行线,7.2.1,9,平行线的基本事实及传递性,性质 / 定理类,平行线的基本事实以及推论,理解过直线外一点有且只有一条直线与已知直线平行，掌握平行线的传递性,1. 能说出平行线基本事实的内容；2. 能说出平行线传递性的推论；3. 会用符号语言表示平行基本事实及平行线传递性其推论,七年级_下册_第七章第 2 节_平行线基本事实及传递性.docx,,,丽玲,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第七章 相交线与平行线,7.2.2,10,平行线的判定（一）：同位角相等，两直线平行,判定方法类,平行线判定（一）,利用同位角相等判定两条直线平行，掌握符号语言,1. 能说出判定定理；2. 会用同位角相等证明两直线平行,七年级_下册_第七章第 2 节_平行线的判定 （一）.docx,,,丽玲,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第七章 相交线与平行线,7.2.2,11,平行线的判定（二）：内错角相等，两直线平行,判定方法类,平行线判定（二）,利用内错角相等判定两条直线平行，掌握符号语言,1. 能说出判定定理；2. 会用内错角相等证明两直线平行,七年级_下册_第七章第 2 节_平行线的判定 （二）.docx,七年级_下册_第七章第 2 节_平行线的判定(二) .docx,5.25,丽玲,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第七章 相交线与平行线,7.2.2,12,平行线的判定（三）：同旁内角互补，两直线平行,判定方法类,平行线判定（三）,利用同旁内角互补判定两条直线平行，掌握符号语言,1. 能说出判定定理；2. 会用同旁内角互补证明两直线平行,七年级_下册_第七章第 2 节_平行线的判定 （三）.docx,,,丽玲,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第七章 相交线与平行线,7.2.3,13,平行线的性质（一）：两直线平行，同位角相等,性质 / 定理类,平行线性质（一）,理解两直线平行时同位角的数量关系，掌握符号语言,1. 能说出性质定理；2. 会用两直线平行证明同位角相等,七年级_下册_第七章第 2 节_平行线的性质 （一）.docx,,,丽玲,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第七章 相交线与平行线,7.2.3,14,平行线的性质（二）：两直线平行，内错角相等,性质 / 定理类,平行线性质（二）,理解两直线平行时内错角的数量关系，掌握符号语言,1. 能说出性质定理；2. 会用两直线平行证明内错角相等,七年级_下册_第七章第 2 节_平行线的性质 （二）.docx,,,丽玲,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第七章 相交线与平行线,7.2.3,15,平行线的性质（三）：两直线平行，同旁内角互补,性质 / 定理类,平行线性质（三）,理解两直线平行时同旁内角的数量关系，掌握符号语言,1. 能说出性质定理；2. 会用两直线平行证明同旁内角互补,七年级_下册_第七章第 2 节_平行线的性质 （三）.docx,,,丽玲,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第七章 相交线与平行线,7.3,16,定义的概念,概念定义类,定义,明确数学中定义的作用，能区分定义与命题,1. 能说出定义的含义；2. 会识别数学中的定义语句,七年级_下册_第七章第 3 节_定义的概念.docx,,,丽玲,,,,,,,,,,,,,,,,,,,,,,,
