学科,年级,册次,章节,课程名称,钩子确认版,标签确认版,学名确认版,url确认版,压图后封面url二次确认,备注问题,去内容标签新封面url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
数学,一年级,下册,100以内数的认识,想一想、摆一摆,神奇的小石子,【一年级】★【超好玩】,想一想摆一摆,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_aa97019f500d84f857f2b69442b3ac1c.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/a8e8074284b64d6a8bd029d3c15cce21.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
数学,一年级,下册,100以内数的认识,数数、数的组成（一）,百以内数怎么组？,【一年级】★【超好玩】,数的组成,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_c86ddb7b825bcdb60a0f9866819e767c.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/2368d728c642433a9863cd85efc0b8eb.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
数学,一年级,下册,100以内数的认识,数数、数的组成（二）,数字宝宝有几种分？,【一年级】★【超好玩】,数的组成二,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_ae62d7b29f965020859cb62de2827233.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/3008984714f04c53b141baacd60c9f7f.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
数学,一年级,下册,100以内数的认识,数的顺序,数字宝宝排排队！,【一年级】★【超好玩】,数的顺序,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_653536d7f2779e14d52e07f074cb7d00.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/778ac4911f6b4ff0934f727b383a50f8.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
数学,一年级,下册,100以内数的认识,比较大小（一）,数字拔河比力气！,【一年级】★【超好玩】,比大小一,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_e51b7bae473c7f00eeb3dccafea4e695.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/9ebdd63551874b1b99df5e22ddae3e4a.jpg,标签字压底图主体,https://cdn-private.sm.cn/souti-imgs-lasting/76bd5226879b4105a633461f1714b3ec.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
数学,一年级,下册,100以内数的认识,比较大小（二）,位数相同怎么比？,【一年级】★【超好玩】,比大小二,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_a4e2505fa1d6bb6f5b9d6fa7b8a49cf3.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/e3ac6f4af60743bcab3c28b0fdf3957b.jpg,标签字压底图主体,https://cdn-private.sm.cn/souti-imgs-lasting/55c4abb416c848beb6e72900269b469f.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
数学,一年级,下册,100以内数的认识,简单的加减法,告别手指头算加减,【一年级】★【数学启蒙】,简单加减法,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_35133b77b33b0479aee07150370c4cc0.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/f75b216afbdf4164bac59cc20aa6d3ce.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
数学,一年级,下册,100以内数的认识,认识100,99后面是100,【一年级】★【数学启蒙】,认识100,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_e4154e110788ec7b883d67d43c386670.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/f194f9e3426a475b867aac88d77aee6e.jpg,标签字压底图主体,https://cdn-private.sm.cn/souti-imgs-lasting/2714d4e2c106488f94d08e30452c1e23.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
数学,一年级,下册,100以内的口算加、减法,口算减法（一）,整十数退位算！,【一年级】★【数学启蒙】,口算减法一,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_954fd7ce1d31da2258d9f594fcd8187e.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/58498712c02a49ce97a52c9c781bfca3.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
数学,一年级,下册,100以内的口算加、减法,口算减法（二）,退位的借位思维,【一年级】★【数学启蒙】,口算减法二,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_899820656ed95fc490068de082b32a72.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/8802822076344a6f95070f424ea503d3.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
