guid（新生产链路）,ID（旧生产链路）,学科,年级,册次,章节,课程名称,内容类型,一句话介绍,url,其它tab,,学名确认版,url确认版,封面压图压缩前url,封面压图压缩后url
a2ac6854811c4e92830eaa2c8c9c367e,,语文,一年级,下册,第一单元,妞妞赶牛,课文,,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_780b886b75ff09b5652a04bbbc9b79f7_topxise.jpg,教材精讲,,妞妞赶牛,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_0acda929483e6a17f887ddb7535c9e6e.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/100f500a5f0b70853201284819167da2.png,https://cdn-private.sm.cn/souti-imgs-lasting/100f500a5f0b70853201284819167da2.jpg
1694c33e41f445b8b4b363262d66e668,,语文,一年级,下册,第一单元,姓氏歌,课文,别人问你姓什么，别只会简单说个“李”！,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_8e8d6f44437d2d7bc863085c514af5fa_topxise.jpg,教材精讲,,姓氏歌,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_4c5ce3f9404910c694fd514f7af5d31c.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/5287c28a6f54e739c482a7d6bc80954b.png,https://cdn-private.sm.cn/souti-imgs-lasting/5287c28a6f54e739c482a7d6bc80954b.jpg
456ddbd0aef0429f910e0ad09772d1f4,,语文,一年级,下册,第一单元,小刺猬理发,课文,嚓嚓几刀下去，这只刺猬怎么变成了小孩？,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_d5b4d111cf18ce522c3cb81011a05405_topxise.jpg,教材精讲,,小刺猬理发,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_031203800749ad83208f4fe668adf28d.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/ea9ad573c9799376ac2ee69358020a51.png,https://cdn-private.sm.cn/souti-imgs-lasting/ea9ad573c9799376ac2ee69358020a51.jpg
cd6ba313356344bf81b85c9cfb36175c,,语文,一年级,下册,第一单元,小青蛙,课文,别只看它长得萌，它干的大事大家都不知道,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_a260d336b4500d51cfff9a866c106378_topxise.jpg,教材精讲,,小青蛙,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_e2817d58c20995fa15eaae5042708343.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/3f1780ade9f4c88b42fe500c8f77a98a.png,https://cdn-private.sm.cn/souti-imgs-lasting/3f1780ade9f4c88b42fe500c8f77a98a.jpg
307f2aa8ed464fa8be4e82f54a89d194,,语文,一年级,下册,第一单元,摇摇船,课文,摇到外婆桥后，外婆给了什么好东西呢？,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_7d6aa847226414f6e982b8f0e58ecb9d_topxise.jpg,教材精讲,,摇摇船,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_00642c0de1335034f5cdaa05ee649d87.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/ebbf766c6dd8546afa2dbfa94c0cff8a.png,https://cdn-private.sm.cn/souti-imgs-lasting/ebbf766c6dd8546afa2dbfa94c0cff8a.jpg
9ef42916d0744903be4ab57fce10f068,,语文,一年级,下册,第一单元,春夏秋冬,课文,,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_3cf2f40651ce7d5d453170220bf2f804_topxise.jpg,教材精讲,,春夏秋冬,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_04893fb2b5e2a95f718c46dc9bd13fae.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/1a4a25bf04f611e21cd52b88e075a76d.png,https://cdn-private.sm.cn/souti-imgs-lasting/1a4a25bf04f611e21cd52b88e075a76d.jpg
ab5e008e24f548448ea32d87a629491d,,语文,一年级,下册,第一单元,春晓,古诗词,处处都有鸟叫，诗人却在发愁，这是为何？,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_1762a04268f05aaa3000f2c4da6fd1c0_topxise.jpg,必背古诗;教材精讲,,春晓,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_e730be62928e8ed376accc5d8d8f598a.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/11592f365bb37913a1218d457f3686b7.png,https://cdn-private.sm.cn/souti-imgs-lasting/11592f365bb37913a1218d457f3686b7.jpg
6d412b91088142329a6ca13b5a10b849,,语文,一年级,下册,第一单元,猜字谜（一）,课文,,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_0047013b92b50a8f8704588080bd9b63_topxise.jpg,教材精讲,,猜字谜（一）,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_a0be68d2789a4bdde178485ddbab6341.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/122e43d28c90e9cd4acbded7b0f1ff55.png,https://cdn-private.sm.cn/souti-imgs-lasting/122e43d28c90e9cd4acbded7b0f1ff55.jpg
a7fd344fb63b4c469df9b6799491960f,,语文,一年级,下册,第一单元,猜字谜（二）,课文,,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_4d2e1e4d7354d62a3fbea5b86f28ade4_topxise.jpg,教材精讲,,猜字谜（二）,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_c6f0e0998d8f48185145b3e6a03206ea.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/885f17c7f41b1a67ef1cb98578e2f95d.png,https://cdn-private.sm.cn/souti-imgs-lasting/885f17c7f41b1a67ef1cb98578e2f95d.jpg
7bab51dd1aec4dd8a57cae2c482c4006,,语文,一年级,下册,第一单元,祖国多么广大,课文,同一时刻的中国，竟同时存在三个季节？,https://cdn-private.sm.cn/souti-imgs-lasting/7459774cbf0aaf400fbc8a70fdc41037_topxise.jpg,教材精讲,,祖国多么广大,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_636e744453d2ab7da4f7e87bcb8f8260.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/3edeb4993620bacdcf67e2e95d8bb415.png,https://cdn-private.sm.cn/souti-imgs-lasting/3edeb4993620bacdcf67e2e95d8bb415.jpg
2f101d1463e94bbe8d0a5db824203306,,语文,一年级,下册,第七单元,一分钟,课文,明明只赖床1分钟，为何却迟到了20分钟？,https://cdn-private.sm.cn/souti-imgs-lasting/10baa2cc68c6439d9b223c568668314b.jpg,教材精讲,,一分钟,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_2e3689617a8b54c69d66b936d5085b9e.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/bab9b8b5a22209e29e6b7ee25e5cae3e.png,https://cdn-private.sm.cn/souti-imgs-lasting/bab9b8b5a22209e29e6b7ee25e5cae3e.jpg
f712c90642b64003ba2502074b54953c,,语文,一年级,下册,第七单元,动物王国开大会,课文,喊一百遍都没人来？大会通知漏了什么？,https://cdn-private.sm.cn/souti-imgs-lasting/c53eea2ae3764194b0345b17995807b2.jpg,教材精讲,,动物王国开大会,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_ec1fc4ccd0c885055d70fce6795a66fb.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/959c7f9eb3c653f965aaae3c49e997d4.png,https://cdn-private.sm.cn/souti-imgs-lasting/959c7f9eb3c653f965aaae3c49e997d4.jpg
3af4f85a3eb94556a36e44e9519282e4,,语文,一年级,下册,第七单元,小猴子下山,课文,连换四次宝贝，小猴子最后的选择竟是它！,https://cdn-private.sm.cn/souti-imgs-lasting/5b797eb97452451ab57e0c02866be745.jpg,教材精讲,,小猴子下山,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_0f6866272f1d01dca875508d798fda8e.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/8fa830d2301a1fd9c815072de0209914.png,https://cdn-private.sm.cn/souti-imgs-lasting/8fa830d2301a1fd9c815072de0209914.jpg
c70ab523c10e4b098e25c79c526f9cc8,,语文,一年级,下册,第七单元,文具的家,课文,铅笔刚用就丢？妈妈一句话文具全回家。,https://cdn-private.sm.cn/souti-imgs-lasting/43e75974ef8b4031b0e9b1de82b320b0.jpg,教材精讲,,文具的家,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_dc48458b4a5ad37abe8e644cd994fce6.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/8c73aa10a2b815a99ee8b5823d684037.png,https://cdn-private.sm.cn/souti-imgs-lasting/8c73aa10a2b815a99ee8b5823d684037.jpg
5a44d0c6c8bc4da0961cc7745a7919c6,,语文,一年级,下册,第七单元,狐狸和乌鸦,课文,不偷不抢，狐狸如何让乌鸦主动交出肉？,https://cdn-private.sm.cn/souti-imgs-lasting/214aa750f2844d008938f61c050a370d.jpg,教材精讲,,狐狸和乌鸦,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_6a9675751f146de62a98baaa9926a9e7.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/03424cf259c442ad534e403736765d41.png,https://cdn-private.sm.cn/souti-imgs-lasting/03424cf259c442ad534e403736765d41.jpg
92d8ea9c0d84420cb0cceaf3658dee70,,语文,一年级,下册,第三单元,小公鸡和小鸭子,课文,小公鸡遇险，是谁救了它一命呢？,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_14016a19ffdc8b9d0f37724d0bbfbd80_topxise.jpg,教材精讲,,小公鸡和小鸭子,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_9d2cb8fb62b071e15cfc6b03f6ce5e69.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/6f99ce5b263bbdc5ab5572284a0a39d4.png,https://cdn-private.sm.cn/souti-imgs-lasting/6f99ce5b263bbdc5ab5572284a0a39d4.jpg
0f19b1525b7c42328fef0aa4142265c1,,语文,一年级,下册,第三单元,怎么都快乐,课文,一个人很好，许多人更好，最好的是……,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_037343b8e946af6766ea974f84699d33_topxise.jpg,教材精讲,,怎么都快乐,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_ec3d41d4c573dac36aac7911207747e5.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/ac225f9e081f4664cf010683886e08da.png,https://cdn-private.sm.cn/souti-imgs-lasting/ac225f9e081f4664cf010683886e08da.jpg
d8f595882af64d95bb3603a24cfbd784,,语文,一年级,下册,第三单元,树和喜鹊,课文,只有一只喜鹊的树，治愈我的内心。,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_21be82d7e85bcb68ef9e82d71a1b171a_topxise.jpg,教材精讲,,树和喜鹊,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_d51aed01bdd5566a478b4930511e6cbf.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/6c039675b835d2dd40aa8f8651359f4f.png,https://cdn-private.sm.cn/souti-imgs-lasting/6c039675b835d2dd40aa8f8651359f4f.jpg
7cd3239d5c4b463295e0e2622777da85,,语文,一年级,下册,第三单元,谁和谁好,课文,风一吹云就跑，为什么还说它俩关系好？,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_111923df055f88bdfda39c811f63432e_topxise.jpg,教材精讲,,谁和谁好,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_9a937db6dd1ec1230aa811d5f25863b7.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/10afbe6762a4b71d09c845edb7b08656.png,https://cdn-private.sm.cn/souti-imgs-lasting/10afbe6762a4b71d09c845edb7b08656.jpg
