学名,来源,压缩前url(png),压缩后url(jpg)
郑人买履,generated,https://cdn-private.sm.cn/souti-imgs-lasting/bdbced53f8aaca5f0c01f06283c6f1e1.png,https://cdn-private.sm.cn/souti-imgs-lasting/bdbced53f8aaca5f0c01f06283c6f1e1.jpg
叶公好龙,generated,https://cdn-private.sm.cn/souti-imgs-lasting/f1fd0ac7fe92759822f44c891a8500a0.png,https://cdn-private.sm.cn/souti-imgs-lasting/f1fd0ac7fe92759822f44c891a8500a0.jpg
邯郸学步,generated,https://cdn-private.sm.cn/souti-imgs-lasting/0b2051238d8129c2c7ce089526a7719a.png,https://cdn-private.sm.cn/souti-imgs-lasting/0b2051238d8129c2c7ce089526a7719a.jpg
朝三暮四,designer,https://cdn-private.sm.cn/souti-imgs-lasting/6f1263e3cd7360bec9ac9ac7477cbb8f.png,https://cdn-private.sm.cn/souti-imgs-lasting/6f1263e3cd7360bec9ac9ac7477cbb8f.jpg
杞人忧天,generated,https://cdn-private.sm.cn/souti-imgs-lasting/337252ab414b8d4bccf4003c6b14ea1e.png,https://cdn-private.sm.cn/souti-imgs-lasting/337252ab414b8d4bccf4003c6b14ea1e.jpg
杯弓蛇影,designer,https://cdn-private.sm.cn/souti-imgs-lasting/532856f4f2ab2603d1ef330cbb1e8e74.png,https://cdn-private.sm.cn/souti-imgs-lasting/532856f4f2ab2603d1ef330cbb1e8e74.jpg
螳螂捕蝉,designer,https://cdn-private.sm.cn/souti-imgs-lasting/214c0566b0b0b669d1ad425909ccb800.png,https://cdn-private.sm.cn/souti-imgs-lasting/214c0566b0b0b669d1ad425909ccb800.jpg
疑邻盗斧,generated,https://cdn-private.sm.cn/souti-imgs-lasting/c84fe16582376f7596bc9bdf87cedfcd.png,https://cdn-private.sm.cn/souti-imgs-lasting/c84fe16582376f7596bc9bdf87cedfcd.jpg
削足适履,generated,https://cdn-private.sm.cn/souti-imgs-lasting/015bd288cebc9442b890fc3731a8d414.png,https://cdn-private.sm.cn/souti-imgs-lasting/015bd288cebc9442b890fc3731a8d414.jpg
井底之蛙,generated,https://cdn-private.sm.cn/souti-imgs-lasting/46fa9367ddada35b5ba9b5ae17078bc3.png,https://cdn-private.sm.cn/souti-imgs-lasting/46fa9367ddada35b5ba9b5ae17078bc3.jpg
画饼充饥,designer,https://cdn-private.sm.cn/souti-imgs-lasting/c01d4e58508ba7d96402e154e0a49be9.png,https://cdn-private.sm.cn/souti-imgs-lasting/c01d4e58508ba7d96402e154e0a49be9.jpg
一叶障目,generated,https://cdn-private.sm.cn/souti-imgs-lasting/618342271f2a9f7d768c9971ef2749e8.png,https://cdn-private.sm.cn/souti-imgs-lasting/618342271f2a9f7d768c9971ef2749e8.jpg
纸上谈兵,designer,https://cdn-private.sm.cn/souti-imgs-lasting/823298d1c971886dece2709a7cb938d4.png,https://cdn-private.sm.cn/souti-imgs-lasting/823298d1c971886dece2709a7cb938d4.jpg
高山流水,generated,https://cdn-private.sm.cn/souti-imgs-lasting/87a701697e82b78f9948efa1ebf82063.png,https://cdn-private.sm.cn/souti-imgs-lasting/87a701697e82b78f9948efa1ebf82063.jpg
鹏程万里,generated,https://cdn-private.sm.cn/souti-imgs-lasting/7a32d8774be5448ad1e68ca950b6d62d.png,https://cdn-private.sm.cn/souti-imgs-lasting/7a32d8774be5448ad1e68ca950b6d62d.jpg
守株待兔,generated,https://cdn-private.sm.cn/souti-imgs-lasting/91db47b6795d4af2d0a9177de1eb1a3a.png,https://cdn-private.sm.cn/souti-imgs-lasting/91db47b6795d4af2d0a9177de1eb1a3a.jpg
坐井观天,designer,https://cdn-private.sm.cn/souti-imgs-lasting/c83c653b728917d48e363043f3cfac7f.png,https://cdn-private.sm.cn/souti-imgs-lasting/c83c653b728917d48e363043f3cfac7f.jpg
揠苗助长,generated,https://cdn-private.sm.cn/souti-imgs-lasting/84029814e84d5d312a0291798768177c.png,https://cdn-private.sm.cn/souti-imgs-lasting/84029814e84d5d312a0291798768177c.jpg
掩耳盗铃,designer,https://cdn-private.sm.cn/souti-imgs-lasting/98885ef13eee29a551f4ebb56d8eb4e3.png,https://cdn-private.sm.cn/souti-imgs-lasting/98885ef13eee29a551f4ebb56d8eb4e3.jpg
狐假虎威,designer,https://cdn-private.sm.cn/souti-imgs-lasting/7cb4dfe46597fdc63e06235d74e606cf.png,https://cdn-private.sm.cn/souti-imgs-lasting/7cb4dfe46597fdc63e06235d74e606cf.jpg
黔驴技穷,designer,https://cdn-private.sm.cn/souti-imgs-lasting/d1fc24086f880151df1ef2a97d64399e.png,https://cdn-private.sm.cn/souti-imgs-lasting/d1fc24086f880151df1ef2a97d64399e.jpg
刻舟求剑,designer,https://cdn-private.sm.cn/souti-imgs-lasting/d5d0609401269e29874362eceeef122d.png,https://cdn-private.sm.cn/souti-imgs-lasting/d5d0609401269e29874362eceeef122d.jpg
南辕北辙,designer,https://cdn-private.sm.cn/souti-imgs-lasting/5eee92f1a1bdb4c382a365c918458a79.png,https://cdn-private.sm.cn/souti-imgs-lasting/5eee92f1a1bdb4c382a365c918458a79.jpg
鹬蚌相争,generated,https://cdn-private.sm.cn/souti-imgs-lasting/4990c7fa8ddc25e6d4f77e661e85cc06.png,https://cdn-private.sm.cn/souti-imgs-lasting/4990c7fa8ddc25e6d4f77e661e85cc06.jpg
滥竽充数,designer,https://cdn-private.sm.cn/souti-imgs-lasting/660138d6d760aa57b007b6ab54bc2af4.png,https://cdn-private.sm.cn/souti-imgs-lasting/660138d6d760aa57b007b6ab54bc2af4.jpg
塞翁失马,designer,https://cdn-private.sm.cn/souti-imgs-lasting/b0f1e487c7024089b0b15ee3ca1f5f11.png,https://cdn-private.sm.cn/souti-imgs-lasting/b0f1e487c7024089b0b15ee3ca1f5f11.jpg
庖丁解牛,designer,https://cdn-private.sm.cn/souti-imgs-lasting/f26fd953681446eb650e3d438eaf9d2e.png,https://cdn-private.sm.cn/souti-imgs-lasting/f26fd953681446eb650e3d438eaf9d2e.jpg
自相矛盾,generated,https://cdn-private.sm.cn/souti-imgs-lasting/0485aac8de51b5c6205538cf82621b7d.png,https://cdn-private.sm.cn/souti-imgs-lasting/0485aac8de51b5c6205538cf82621b7d.jpg
买椟还珠,generated,https://cdn-private.sm.cn/souti-imgs-lasting/f1c67b4411d174f7ade163b10d9be4e2.png,https://cdn-private.sm.cn/souti-imgs-lasting/f1c67b4411d174f7ade163b10d9be4e2.jpg
囫囵吞枣,designer,https://cdn-private.sm.cn/souti-imgs-lasting/3d4807de12de840a83a5e652fdb19f2f.png,https://cdn-private.sm.cn/souti-imgs-lasting/3d4807de12de840a83a5e652fdb19f2f.jpg
螳臂当车,generated,https://cdn-private.sm.cn/souti-imgs-lasting/7c8ded0ca4711131b7a4a1c215dcfe02.png,https://cdn-private.sm.cn/souti-imgs-lasting/7c8ded0ca4711131b7a4a1c215dcfe02.jpg
望洋兴叹,generated,https://cdn-private.sm.cn/souti-imgs-lasting/5bf81f8e74f611043001a79dd2eddc75.png,https://cdn-private.sm.cn/souti-imgs-lasting/5bf81f8e74f611043001a79dd2eddc75.jpg
缘木求鱼,generated,https://cdn-private.sm.cn/souti-imgs-lasting/e3cc02052dae6491f6822fc249edc83c.png,https://cdn-private.sm.cn/souti-imgs-lasting/e3cc02052dae6491f6822fc249edc83c.jpg
