行号,年级,钩子,原标签,新标签,style,原图url,旧封面url,新封面url
6,一年级,数字拔河比力气！,【一年级】★【超好玩】,一年级,1,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_e51b7bae473c7f00eeb3dccafea4e695.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/9ebdd63551874b1b99df5e22ddae3e4a.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/76bd5226879b4105a633461f1714b3ec.jpg
7,一年级,位数相同怎么比？,【一年级】★【超好玩】,一年级,1,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_a4e2505fa1d6bb6f5b9d6fa7b8a49cf3.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/e3ac6f4af60743bcab3c28b0fdf3957b.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/55c4abb416c848beb6e72900269b469f.jpg
9,一年级,99后面是100,【一年级】★【数学启蒙】,一年级,1,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_e4154e110788ec7b883d67d43c386670.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/f194f9e3426a475b867aac88d77aee6e.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/2714d4e2c106488f94d08e30452c1e23.jpg
13,一年级,进位的小红点！,【一年级】★【数学启蒙】,一年级,1,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_8ffbee795f5a27504288a57ac47c364f.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/8b40f326faef4ec9ab6ff6ecd1ca4ec1.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/37a946a6c4d74ab4a83852cbebddd0e0.jpg
15,一年级,竖式减法借小1,【一年级】★【数学启蒙】,一年级,1,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_f9bc110725aec05989ee35bda0f7088e.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/13c4dd5359d2419c94a012a078b5bda9.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/3ff9a46456fc47228ffc2b014ea43d21.jpg
18,一年级,十几减几找口诀！,【二年级】★【近期要学】,二年级,1,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_2aa904d543943460cd295a708c6cc55a.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/73065246935c49caa82cd1889c6b6610.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/a58199863a954e2b975c5dce6a2ac787.jpg
20,一年级,看图列出小算式,【一年级】★【超好玩】,一年级,1,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_2f61cb25687daf47b5c085ec41129cb3.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/dc5a89c9b9304e34a0a8c7e6d731e19f.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/6f5b697ce4404a7592394e560806c70e.jpg
21,一年级,比多比少用加减？,【一年级】★【超好玩】,一年级,1,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_d61a97af8ccbf6e5e8d6b8ed4b84d0f3.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/32b8c72ed56d4136b9ccf6b7316085d0.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/8768d590db7e4879a93878f6f3c2eafc.jpg
26,一年级,七块板拼万千图！,【一年级】★【数学启蒙】,一年级,1,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_fd59ca0ed8ca067abc87256209442b71.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/714bfc8a738a42d489b4ca5e35266d77.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/7d1ac580c9174f4ca68b6f4c9e3afc5c.jpg
27,一年级,图形组合大魔法！,【一年级】★【数学启蒙】,一年级,1,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_528a3ce56c05f63a93301fdc1b4d01bf.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/d43436db7fd64e008e3df2aeadf89d24.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/6c15f971f1844450a5cf11857d96b22d.jpg
28,一年级,图形家族大集合！,【二年级】★【数学启蒙】,二年级,1,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_5aeee5320fa484221ab2ce021be31449.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/0a7d2412280c45479e20a5e3dcfe6e3b.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/e45129b5b4cb4c27bce3f629996673a4.jpg
30,二年级,谁是数字大王？,【二年级】★【数学启蒙】,二年级,1,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_eec11130bdbbd78967b47b8e72948a82.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/2047a4125d014a5b8a149ca08a8c8bb8.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/4bedc53e0dff424487c89df4ec20d6fe.jpg
