行号,学名,备注,用图,原图url,旧压缩url,新封面url
2,猜字谜（一）,标签分行问题,url确认版,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_a0be68d2789a4bdde178485ddbab6341.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/122e43d28c90e9cd4acbded7b0f1ff55.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/8bcc33b23310474893dd11f30800c763.jpg
3,猜字谜（二）,标签分行问题,url确认版,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_c6f0e0998d8f48185145b3e6a03206ea.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/885f17c7f41b1a67ef1cb98578e2f95d.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/f314d079d5c24b6aa00844253bc6b3e2.jpg
4,文具的家,文字颜色与底图相近,修改版,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_8872c8ee7bb135d71642fb8982ca8260.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/8c73aa10a2b815a99ee8b5823d684037.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/48cdcda395d040d59d283e7399632875.jpg
5,悯农（其一）,标签分行问题,url确认版,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_6f6a98d6f12db9cf3990ce7580d0a1d2.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/4ddc9c842dee75abebf0bc116ae0d713.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/87e590cc0ee04ae2914ecb376b1d3d39.jpg
6,鲁班造锯,标签挡脸（面积较大）,修改版,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_ed4df7062b691d8e957bb76acb2505a1.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/1514acf17735e7b282b98d5af0720304.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/513860b9e01849d8ad50367923a6f541.jpg
7,心中的“问号”,标签分行问题,url确认版,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_9f1fb4f202046b650e275b5d854e16da.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/0c24e4e7ee65b9fc7e4ebe64af0147b9.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/26177f0bdcd24c70a7393a78a7582a9c.jpg
8,晓出净慈寺送林子方,标签挡脸（面积较大）,修改版,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_dccc7a9fe68f8ac46a96064c468a3757.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/9e57d8db38b16aaf5a2a1fdbe404b2af.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/9bb3497cfb8341f9bd08b6db54ead22a.jpg
9,最大的“书”,标签分行问题,url确认版,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_f9be246f1dc586abe97ed9d1865db747.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/f4245430e73efceae4856b55d34c5de2.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/7301b4a3b8d84b72967605034190a296.jpg
10,卜算子·咏梅,文字颜色与底图相近,修改版,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_57bd616680aa857a22aaba13cefc7d23.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/b87f737028d3350365f8631ba5df3cc4.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/99284a9a30844ab6b013665184ca0acc.jpg
11,清平乐·村居,标签分行问题,url确认版,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_a843039630e8cc56584e441adbb226bd.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/7177f5ec78c00d391f32c965a76da55d.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/60217eacc4b94e6782f4150000467e9f.jpg
12,“诺曼底号”遇难记,标签分行问题,url确认版,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_1efe17cca596ddb91a9acded748fba66.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/09b9bbc47b032134959c69b9b208f227.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/af79f5179fac4f50b4850ef50d8e48b8.jpg
13,白桦,文字颜色与底图相近,修改版,https://cdn-private.sm.cn/souti-imgs-lasting/sd_df9c55f94421e5989a8fd65868173a1f.png,https://cdn-private.sm.cn/souti-imgs-lasting/f83b515a88e1192ffb2d2e852bfa88eb.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/0e5cbfad2c4d4d7ba9bdfa4d8bb2e9d8.jpg
14,威尼斯的小艇,标签挡脸（面积较大）,修改版,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_cf257f89f27a27182ca6da4ad1314e9a.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/724133b7f69d7163e2f41d01cf739ead.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/88ab4ddb10904670a1f7a193ccccc30b.jpg
15,他像一棵挺脱的树,标签挡脸（面积较大）,修改版,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_edaa410c23b0b9b7c2de6a78bd298a29.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/4a0c83b5bb8bb6d439039d0e4b681cbb.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/82162436ef144aca9880a06b0bff22a9.jpg
16,田忌赛马,标签挡脸（面积较大）,修改版,https://cdn-private.sm.cn/souti-imgs-lasting/sd_2e2d20af1124fda7fbd708ae5e7b49ee.png,https://cdn-private.sm.cn/souti-imgs-lasting/a7a9e6e8d24caa2db8952ea4e0ce32e6.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/cb341ad14891414dbc05fd6df89d8583.jpg
17,他_______了,标签分行问题,url确认版,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_041cab19a8c302f85471fed45fecb032.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/a492438fa7b8e93d203da632466c5217.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/a0057aac310b423abab332c7d1f1e19f.jpg
18,清贫,标签挡脸（面积较大）,修改版,https://cdn-private.sm.cn/souti-imgs-lasting/sd_03be5e277c9eaca177ab111217fce771.png,https://cdn-private.sm.cn/souti-imgs-lasting/7649673191f74d6d0067b1f47ee11b99.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/2405be507073450d966b0a3dcac0ad77.jpg
19,采薇（节选）,标签分行问题,url确认版,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_03d6fcf7ebc0b09fec89d7e46802895c.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/07edd644ba5409583c44770d5d0bd76d.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/ee42295877f54925bd5aff58dae91d16.jpg
20,匆匆,标签挡脸（面积较大）,修改版,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_cd0c6ac4a03020d7ec956027e452868d.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/e3b0ba1e984263a81a82971a0296ecef.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/6b9ac3a2c0a645c58a3197b09b08b29f.jpg
21,真理诞生于一百个问号之后,文字颜色与底图相近,修改版,https://cdn-private.sm.cn/souti-imgs-lasting/wanwu_gm_wanwu_d309512d8bd6758d4e93154d784b977c.png,https://cdn-private.sm.cn/souti-imgs-lasting/3fb6ab04057f932d8ca51a69f22b4488.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/6e249c34eff94058819625fef8e6f697.jpg
22,邓稼先,标签挡脸（面积较大）,修改版,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_db32443a9583604bc7dd423dd17dc521.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/5e221213f234799dbb3e21b22e933587.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/ca7694d904b145a28a5ce3a67823eef3.jpg
23,阿长与《山海经》,标签分行问题,url确认版,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_1c6b8a799a9fbbd150e0b8cc76239fc5.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/de9dd264951f434178451427ce77ee77.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/d4ac37c7695c4c89a93eea476bc9bc4e.jpg
24,老山界,标签挡脸（面积较大）,修改版,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_668d0e4b02c077d35785715295df599d.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/ae2ce29fa8056375e62338da204c96f4.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/d5b051963ccd46639410c9a7bc56613c.jpg
25,登飞来峰,标签挡脸（面积较大）,修改版,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_c49195f31b20d06b7e58b0d8263856d6.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/3d80be9880720b1d2ba148d82d9d95dd.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/3d3c658bae384a739b8d0ff4d1e140dd.jpg
26,带上她的眼睛,标签挡脸（面积较大）,修改版,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_816a35600ae431711722989048963a7e.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/3c2183582ca39b1a1fc875462a05f430.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/ad142f93d9904c39ad69035e9cbb6c57.jpg
27,考虑目的和对象,文字颜色与底图相近,修改版,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_5e18bb5003ad46e8f3eb10fcd37bebfa.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/87990097b10576b560af7bdd22f0b004.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/0c9ae2e3a8984084bfc9a6e0d6fe2f25.jpg
28,学写读后感,文字颜色与底图相近,修改版,https://cdn-private.sm.cn/souti-imgs-lasting/wanwu_gm_wanwu_3180be99db0c621fe8e4aca8bd8634d5.png,https://cdn-private.sm.cn/souti-imgs-lasting/144fcc624d112d326edb9e1bc7647bb4.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/85139c7c6b354dc98316559dd14d4df6.jpg
29,式微《诗经·邶风》,标签分行问题,url确认版,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_8c6c1f6de52adc953ee34e2bcbf492a1.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/53a8fa688cd8429f20208db346906e03.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/6e50da5ff3a24fda8db65065c3355978.jpg
30,《礼记・檀弓》故事二则,标签分行问题,url确认版,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_59f8f37f906f9c4de7a8266c4cc56ff6.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/200c071f7b40b9a3e048d10688ba0833.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/6d4d0031360a4f96bfd946e62a1c55e4.jpg
31,庄子与惠子游于濠梁之上,标签挡脸（面积较大）,修改版,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_e340a715de32450175611af606984ba0.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/cfda68274989174fc3e6b6b189d322e8.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/b662ed108f7544e98856a63ef4a994a0.jpg
32,梅岭三章,标签挡脸（面积较大）,修改版,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_f160eede8d0283a7658e0ade09399a1a.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/75fe24cabb75b0becf0d9bcddf008549.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/37264a78fe5246479f9be428233a1904.jpg
33,浣溪沙,标签挡脸（面积较大）,修改版,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_881ca3373261c987dad5866c44502918.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/57d1e5ec609e66ce3b913053c563151f.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/26186706c2124cd8b27282b8634d4824.jpg
34,变色龙,标签挡脸（面积较大）,修改版,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_6894017efdd6953335bf6e65471cf970.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/cfe4daeb3b088cd375f1c2fd25c0ad08.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/bf2c4377e55441829638758e5bcdef93.jpg
35,屈原（节选）,标签分行问题,url确认版,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_2311a49e851d86d15882c2e74d945c56.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/e83ae71c0be5c0177cad92397da55b6f.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/7a5b2afbee9048559bbd33cbb7349e1e.jpg
36,悯农（其二）,标签分行问题,url确认版,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_12930aa3d62b4543d10b3905f76f5cb5.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/7063b98cbdfd6500a6904919de72e938.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/45a4ff1d753045849ed0899a3ae570cc.jpg
37,望天门山,标签挡脸（面积较大）,修改版,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_1d493c302d0138c271adb5f6a6eb7eba.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/e66fbec8e503cfd082f5115856754c73.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/e00a10e300834966a1ab4edc4ce628c2.jpg
38,饮湖上初晴后雨,标签挡脸（面积较大）,修改版,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_66b91384b094607a2d3f03eaefae2594.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/acdf2270a1460e4daa16d639abd37928.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/cc22ea9c9e91406198a2449545ab5c34.jpg
39,雪梅,文字颜色与底图相近,修改版,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_908f51e4fa4e4f7f2fb50c3cee142730.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/079a090daf4e810734c2011ebd7ef7e0.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/f0bd1aea442d49008e275ea1aa97deae.jpg
40,山居秋暝,标签挡脸（面积较大）,修改版,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_450a0401e1fef3d9f592d547247d4d7c.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/25ff1cb37bb11cc3f1b73db906a0751a.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/acd717b1ae3a4a7c8e4df2ab4e322dcd.jpg
41,长相思,标签挡脸（面积较大）,修改版,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_54557eddb366658d2bbcf1187cd128f8.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/13b5ead32d812592aebb7ae8ca9317ce.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/7e078f0b3d0c4c5f8ebb7b0e12bf965b.jpg
42,己亥杂诗,标签挡脸（面积较大）,修改版,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_72144c686682a544603e7804f8771a59.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/0324f23c0d1cf185cd32463ec871ae07.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/333e9385cc3b4a7aa919b1bf9f464d29.jpg
43,浪淘沙（其一）,标签分行问题,url确认版,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_867490b69dbdc0a3ef1842fb884e3fe2.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/c9f06a4f4d19a8a9b898731c02f6cbfc.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/373fe5a46080471192acfd6409215779.jpg
