学名,原图url,未压缩url(png),压缩url(jpg)
妞妞赶牛,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_0acda929483e6a17f887ddb7535c9e6e.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/100f500a5f0b70853201284819167da2.png,https://cdn-private.sm.cn/souti-imgs-lasting/100f500a5f0b70853201284819167da2.jpg
姓氏歌,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_4c5ce3f9404910c694fd514f7af5d31c.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/5287c28a6f54e739c482a7d6bc80954b.png,https://cdn-private.sm.cn/souti-imgs-lasting/5287c28a6f54e739c482a7d6bc80954b.jpg
小刺猬理发,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_031203800749ad83208f4fe668adf28d.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/ea9ad573c9799376ac2ee69358020a51.png,https://cdn-private.sm.cn/souti-imgs-lasting/ea9ad573c9799376ac2ee69358020a51.jpg
小青蛙,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_e2817d58c20995fa15eaae5042708343.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/3f1780ade9f4c88b42fe500c8f77a98a.png,https://cdn-private.sm.cn/souti-imgs-lasting/3f1780ade9f4c88b42fe500c8f77a98a.jpg
摇摇船,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_00642c0de1335034f5cdaa05ee649d87.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/ebbf766c6dd8546afa2dbfa94c0cff8a.png,https://cdn-private.sm.cn/souti-imgs-lasting/ebbf766c6dd8546afa2dbfa94c0cff8a.jpg
春夏秋冬,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_04893fb2b5e2a95f718c46dc9bd13fae.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/1a4a25bf04f611e21cd52b88e075a76d.png,https://cdn-private.sm.cn/souti-imgs-lasting/1a4a25bf04f611e21cd52b88e075a76d.jpg
春晓,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_e730be62928e8ed376accc5d8d8f598a.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/11592f365bb37913a1218d457f3686b7.png,https://cdn-private.sm.cn/souti-imgs-lasting/11592f365bb37913a1218d457f3686b7.jpg
猜字谜（一）,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_a0be68d2789a4bdde178485ddbab6341.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/122e43d28c90e9cd4acbded7b0f1ff55.png,https://cdn-private.sm.cn/souti-imgs-lasting/122e43d28c90e9cd4acbded7b0f1ff55.jpg
猜字谜（二）,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_c6f0e0998d8f48185145b3e6a03206ea.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/885f17c7f41b1a67ef1cb98578e2f95d.png,https://cdn-private.sm.cn/souti-imgs-lasting/885f17c7f41b1a67ef1cb98578e2f95d.jpg
祖国多么广大,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_636e744453d2ab7da4f7e87bcb8f8260.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/3edeb4993620bacdcf67e2e95d8bb415.png,https://cdn-private.sm.cn/souti-imgs-lasting/3edeb4993620bacdcf67e2e95d8bb415.jpg
一分钟,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_2e3689617a8b54c69d66b936d5085b9e.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/bab9b8b5a22209e29e6b7ee25e5cae3e.png,https://cdn-private.sm.cn/souti-imgs-lasting/bab9b8b5a22209e29e6b7ee25e5cae3e.jpg
动物王国开大会,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_ec1fc4ccd0c885055d70fce6795a66fb.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/959c7f9eb3c653f965aaae3c49e997d4.png,https://cdn-private.sm.cn/souti-imgs-lasting/959c7f9eb3c653f965aaae3c49e997d4.jpg
小猴子下山,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_0f6866272f1d01dca875508d798fda8e.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/8fa830d2301a1fd9c815072de0209914.png,https://cdn-private.sm.cn/souti-imgs-lasting/8fa830d2301a1fd9c815072de0209914.jpg
文具的家,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_dc48458b4a5ad37abe8e644cd994fce6.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/8c73aa10a2b815a99ee8b5823d684037.png,https://cdn-private.sm.cn/souti-imgs-lasting/8c73aa10a2b815a99ee8b5823d684037.jpg
狐狸和乌鸦,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_6a9675751f146de62a98baaa9926a9e7.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/03424cf259c442ad534e403736765d41.png,https://cdn-private.sm.cn/souti-imgs-lasting/03424cf259c442ad534e403736765d41.jpg
小公鸡和小鸭子,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_9d2cb8fb62b071e15cfc6b03f6ce5e69.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/6f99ce5b263bbdc5ab5572284a0a39d4.png,https://cdn-private.sm.cn/souti-imgs-lasting/6f99ce5b263bbdc5ab5572284a0a39d4.jpg
怎么都快乐,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_ec3d41d4c573dac36aac7911207747e5.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/ac225f9e081f4664cf010683886e08da.png,https://cdn-private.sm.cn/souti-imgs-lasting/ac225f9e081f4664cf010683886e08da.jpg
树和喜鹊,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_d51aed01bdd5566a478b4930511e6cbf.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/6c039675b835d2dd40aa8f8651359f4f.png,https://cdn-private.sm.cn/souti-imgs-lasting/6c039675b835d2dd40aa8f8651359f4f.jpg
谁和谁好,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_9a937db6dd1ec1230aa811d5f25863b7.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/10afbe6762a4b71d09c845edb7b08656.png,https://cdn-private.sm.cn/souti-imgs-lasting/10afbe6762a4b71d09c845edb7b08656.jpg
赠汪伦,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_9128710320ca00ed459c7f77fbb8e78e.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/c276158994b8c4a0d216b2d5eff102f9.png,https://cdn-private.sm.cn/souti-imgs-lasting/c276158994b8c4a0d216b2d5eff102f9.jpg
吃水不忘挖井人,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_f3ff798082a144944de3b68b17e7153f.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/fc3d56e0e73c496239cb9760564a0a26.png,https://cdn-private.sm.cn/souti-imgs-lasting/fc3d56e0e73c496239cb9760564a0a26.jpg
寻隐者不遇,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_c08155e6932dabf69aeac9fc61903c99.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/0a9ad78312dc9305a3b3942b7b0caa3a.png,https://cdn-private.sm.cn/souti-imgs-lasting/0a9ad78312dc9305a3b3942b7b0caa3a.jpg
快乐的节日,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_63bbd6359dcb94ebdd90ef2b6ed02e4b.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/1146f3b9eeb9a3fb4611837891b0ee7c.png,https://cdn-private.sm.cn/souti-imgs-lasting/1146f3b9eeb9a3fb4611837891b0ee7c.jpg
我多想去看看,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_772bcd64fcb2c5ede59b3ea60cd3626e.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/e2ae159073f9891ab612b261e22a7990.png,https://cdn-private.sm.cn/souti-imgs-lasting/e2ae159073f9891ab612b261e22a7990.jpg
热爱中国共产党,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_f6cd4973216a5e744d5bcf965fd0d84f.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/a7d4e19342608bd912ef02af76dfc792.png,https://cdn-private.sm.cn/souti-imgs-lasting/a7d4e19342608bd912ef02af76dfc792.jpg
